email_id,rouge1,rouge2,rougeL
H001,0.6122448979591837,0.3829787234042553,0.5714285714285714
H021,0.48148148148148157,0.11538461538461539,0.4444444444444445
H041,0.5396825396825397,0.42622950819672134,0.5079365079365079
H061,0.45614035087719296,0.21818181818181814,0.3157894736842105
H081,0.31746031746031744,0.09836065573770492,0.25396825396825395
H101,0.4666666666666666,0.27586206896551724,0.33333333333333326
H121,0.6779661016949152,0.5263157894736842,0.6101694915254237
H141,0.5416666666666666,0.3913043478260869,0.5416666666666666
H161,0.49056603773584906,0.2745098039215686,0.3396226415094339
H181,0.48275862068965514,0.25,0.41379310344827586
H201,0.5,0.21052631578947367,0.4000000000000001
H221,0.42857142857142855,0.1851851851851852,0.28571428571428575
H241,0.6296296296296297,0.46153846153846156,0.5925925925925926
M051,0.22222222222222224,0.13953488372093023,0.22222222222222224
M101,0.30434782608695654,0.045454545454545456,0.26086956521739135
M151,0.5357142857142857,0.37037037037037035,0.5
M201,0.6666666666666667,0.5652173913043479,0.6666666666666667
L001,0.34615384615384615,0.23999999999999996,0.3076923076923077
L101,0.32432432432432434,0.1142857142857143,0.32432432432432434
L201,0.5161290322580645,0.3448275862068966,0.45161290322580644
